No devices were found
Reward at iter 192256: -200.0
Reward at iter 192512: -200.0
Reward at iter 192768: -200.0
Reward at iter 193024: -200.0
Reward at iter 193280: -200.0
Reward at iter 193536: -200.0
Reward at iter 193792: -200.0
Reward at iter 194048: -200.0
Reward at iter 194304: -200.0
Reward at iter 194560: -200.0
Reward at iter 194816: -200.0
Reward at iter 195072: -200.0
Reward at iter 195328: -200.0
Reward at iter 195584: -200.0
Reward at iter 195840: -200.0
Reward at iter 196096: -200.0
Reward at iter 196352: -200.0
Reward at iter 196608: -200.0
Reward at iter 196864: -200.0
Reward at iter 197120: -200.0
Reward at iter 197376: -200.0
Reward at iter 197632: -200.0
Reward at iter 197888: -200.0
Reward at iter 198144: -200.0
Reward at iter 198400: -200.0
Reward at iter 198656: -200.0
Reward at iter 198912: -200.0
Reward at iter 199168: -200.0
Reward at iter 199424: -200.0
Reward at iter 199680: -200.0
Reward at iter 199936: -200.0
Reward at iter 200192: -200.0
Reward at iter 200448: -200.0
Reward at iter 200704: -200.0
Reward at iter 200960: -200.0
Reward at iter 201216: -200.0
Reward at iter 201472: -200.0
Reward at iter 201728: -200.0
Reward at iter 201984: -200.0
Reward at iter 202240: -200.0
Reward at iter 202496: -200.0
Reward at iter 202752: -200.0
Reward at iter 203008: -200.0
Reward at iter 203264: -200.0
Reward at iter 203520: -200.0
Reward at iter 203776: -200.0
Reward at iter 204032: -200.0
Reward at iter 204288: -200.0
Reward at iter 204544: -200.0
Reward at iter 204800: -200.0
Reward at iter 205056: -200.0
Reward at iter 205312: -200.0
Reward at iter 205568: -200.0
Reward at iter 205824: -200.0
Reward at iter 206080: -200.0
Reward at iter 206336: -200.0
Reward at iter 206592: -200.0
Reward at iter 206848: -200.0
Reward at iter 207104: -200.0
Reward at iter 207360: -200.0
Reward at iter 207616: -200.0
Reward at iter 207872: -200.0
Reward at iter 208128: -200.0
Reward at iter 208384: -200.0
Reward at iter 208640: -200.0
Reward at iter 208896: -200.0
Reward at iter 209152: -200.0
Reward at iter 209408: -200.0
Reward at iter 209664: -200.0
Reward at iter 209920: -200.0
Reward at iter 210176: -200.0
Reward at iter 210432: -200.0
Reward at iter 210688: -200.0
Reward at iter 210944: -200.0
Reward at iter 211200: -200.0
Reward at iter 211456: -200.0
Reward at iter 211712: -200.0
Reward at iter 211968: -200.0
Reward at iter 212224: -200.0
Reward at iter 212480: -200.0
Reward at iter 212736: -200.0
Reward at iter 212992: -200.0
Reward at iter 213248: -200.0
Reward at iter 213504: -200.0
Reward at iter 213760: -200.0
Reward at iter 214016: -200.0
Reward at iter 214272: -200.0
Reward at iter 214528: -200.0
Reward at iter 214784: -200.0
Reward at iter 215040: -200.0
Reward at iter 215296: -200.0
Reward at iter 215552: -200.0
Reward at iter 215808: -200.0
Reward at iter 216064: -200.0
Reward at iter 216320: -200.0
Reward at iter 216576: -200.0
Reward at iter 216832: -200.0
Reward at iter 217088: -200.0
Reward at iter 217344: -200.0
Reward at iter 217600: -200.0
Reward at iter 217856: -200.0
Reward at iter 218112: -200.0
Reward at iter 218368: -200.0
Reward at iter 218624: -200.0
Reward at iter 218880: -200.0
Reward at iter 219136: -200.0
Reward at iter 219392: -200.0
Reward at iter 219648: -200.0
Reward at iter 219904: -200.0
Reward at iter 220160: -200.0
Reward at iter 220416: -200.0
Reward at iter 220672: -200.0
Reward at iter 220928: -200.0
Reward at iter 221184: -200.0
Reward at iter 221440: -200.0
Reward at iter 221696: -200.0
Reward at iter 221952: -200.0
Reward at iter 222208: -200.0
Reward at iter 222464: -200.0
Reward at iter 222720: -200.0
Reward at iter 222976: -200.0
Reward at iter 223232: -200.0
Reward at iter 223488: -200.0
Reward at iter 223744: -200.0
Reward at iter 224000: -200.0
Reward at iter 224256: -200.0
Reward at iter 224512: -200.0
Reward at iter 224768: -200.0
Reward at iter 225024: -200.0
Reward at iter 225280: -200.0
Reward at iter 225536: -200.0
Reward at iter 225792: -200.0
Reward at iter 226048: -200.0
Reward at iter 226304: -200.0
Reward at iter 226560: -200.0
Reward at iter 226816: -200.0
Reward at iter 227072: -200.0
Reward at iter 227328: -200.0
Reward at iter 227584: -200.0
Reward at iter 227840: -200.0
Reward at iter 228096: -200.0
Reward at iter 228352: -200.0
Reward at iter 228608: -200.0
Reward at iter 228864: -200.0
Reward at iter 229120: -200.0
Reward at iter 229376: -200.0
Reward at iter 229632: -200.0
Reward at iter 229888: -200.0
Reward at iter 230144: -200.0
Reward at iter 230400: -200.0
Reward at iter 230656: -200.0
Reward at iter 230912: -200.0
Reward at iter 231168: -200.0
Reward at iter 231424: -200.0
Reward at iter 231680: -200.0
Reward at iter 231936: -200.0
Reward at iter 232192: -200.0
Reward at iter 232448: -200.0
Reward at iter 232704: -200.0
Reward at iter 232960: -200.0
Reward at iter 233216: -200.0
Reward at iter 233472: -200.0
Reward at iter 233728: -200.0
Reward at iter 233984: -200.0
Reward at iter 234240: -200.0
Reward at iter 234496: -200.0
Reward at iter 234752: -200.0
Reward at iter 235008: -200.0
Reward at iter 235264: -200.0
Reward at iter 235520: -200.0
Reward at iter 235776: -200.0
Reward at iter 236032: -200.0
Reward at iter 236288: -200.0
Reward at iter 236544: -200.0
Reward at iter 236800: -200.0
Reward at iter 237056: -200.0
Reward at iter 237312: -200.0
