Thu Mar 19 00:43:39 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 595.45.04              Driver Version: 595.45.04      CUDA Version: 13.2     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Setting seed -  9
---------------------------------
Environment created
Box(-0.4, 0.4, (17,), float32) Box(-inf, inf, (348,), float64)
Starting Initial training
avg 3 return on policy: 247.2171428600947
avg 3 return on policy: 247.52717308203378
avg 3 return on policy: 247.8290291428566
avg 3 return on policy: 251.73250049352646
avg 3 return on policy: 253.5939320921898
avg 3 return on policy: 251.84959103663763
avg 3 return on policy: 255.9711039463679
avg 3 return on policy: 253.81632302204767
avg 3 return on policy: 253.3836916089058
avg 3 return on policy: 254.17820195357004
avg 3 return on policy: 257.3686820268631
avg 3 return on policy: 260.02212498585385
avg 3 return on policy: 260.25282645225525
avg 3 return on policy: 264.7897705237071
avg 3 return on policy: 266.03503306706745
avg 3 return on policy: 271.40077273050946
avg 3 return on policy: 271.72992277145386
avg 3 return on policy: 273.92972922325134
avg 3 return on policy: 267.13855504989624
avg 3 return on policy: 261.9717666705449
avg 3 return on policy: 264.64446393648785
avg 3 return on policy: 264.3757810195287
avg 3 return on policy: 257.7447046637535
avg 3 return on policy: 254.7521015405655
avg 3 return on policy: 254.2985698580742
avg 3 return on policy: 259.38142015536624
avg 3 return on policy: 256.49326795339584
avg 3 return on policy: 254.75967174768448
avg 3 return on policy: 256.1118628978729
avg 3 return on policy: 253.84668028354645
avg 3 return on policy: 252.15071634451547
avg 3 return on policy: 249.95430014530817
avg 3 return on policy: 247.26350498199463
avg 3 return on policy: 244.79810506105423
avg 3 return on policy: 252.79434023300806
avg 3 return on policy: 246.58527421951294
avg 3 return on policy: 246.76754838228226
avg 3 return on policy: 254.22783855597177
avg 3 return on policy: 256.14370433489484
avg 3 return on policy: 252.86434783538184
avg 3 return on policy: 255.1086657444636
avg 3 return on policy: 257.9088952740033
avg 3 return on policy: 253.1443026860555
avg 3 return on policy: 249.94778966903687
avg 3 return on policy: 247.65705943107605
avg 3 return on policy: 248.5812141696612
avg 3 return on policy: 242.57524089018503
avg 3 return on policy: 242.17860243717828
avg 3 return on policy: 242.24984316031137
avg 3 return on policy: 246.0919836362203
avg 3 return on policy: 244.10072594881058
avg 3 return on policy: 246.33850568532944
avg 3 return on policy: 241.79118824005127
avg 3 return on policy: 239.82145617405573
avg 3 return on policy: 243.10937239726385
avg 3 return on policy: 243.0042405128479
avg 3 return on policy: 243.49898014465967
avg 3 return on policy: 243.477530280749
avg 3 return on policy: 241.03486243883768
avg 3 return on policy: 239.43146481116614
avg 3 return on policy: 237.97897996505102
avg 3 return on policy: 238.39932668209076
avg 3 return on policy: 241.92806063095728
avg 3 return on policy: 237.66838431358337
avg 3 return on policy: 231.61499071121216
avg 3 return on policy: 230.00388306379318
avg 3 return on policy: 229.6088780760765
avg 3 return on policy: 227.56431474288306
avg 3 return on policy: 229.73809762795767
avg 3 return on policy: 229.4675276875496
avg 3 return on policy: 229.99630834658942
avg 3 return on policy: 230.58670622110367
avg 3 return on policy: 232.5681144197782
avg 3 return on policy: 236.2335819800695
avg 3 return on policy: 233.2026622891426
avg 3 return on policy: 238.67834452788034
avg 3 return on policy: 238.04381257295609
